Wall time,Step,Value
1682965979.5006018,221,134.0
1682965982.4326901,222,176.0
1682965984.648153,223,133.0
1682965985.0144165,224,22.0
1682965987.2133858,225,132.0
1682965987.4632366,226,15.0
1682965989.6620083,227,131.0
1682965991.7774906,228,127.0
1682965992.027267,229,15.0
1682965992.343794,230,19.0
1682965994.5259495,231,130.0
1682965996.8418915,232,138.0
1682965999.0230923,233,130.0
1682966001.2724867,234,133.0
1682966003.421706,235,128.0
1682966003.7872233,236,21.0
1682966006.0027947,237,130.0
1682966008.3018768,238,135.0
1682966010.5003283,239,130.0
1682966012.6827617,240,129.0
1682966026.1082895,241,133.0
1682966030.3059301,242,252.0
1682966034.1873872,243,232.0
1682966036.4527946,244,136.0
1682966039.3175578,245,170.0
1682966041.5173552,246,132.0
1682966044.7315583,247,192.0
1682966047.6126904,248,172.0
1682966049.3456554,249,103.0
1682966051.1942751,250,111.0
1682966053.393095,251,132.0
1682966055.4918315,252,122.0
1682966057.2574356,253,103.0
1682966058.973244,254,102.0
1682966060.855429,255,112.0
1682966062.5545993,256,98.0
1682966064.7365386,257,129.0
1682966066.6521864,258,111.0
1682966068.6178913,259,117.0
1682966070.500053,260,106.0
1682966082.6772969,261,117.0
1682966084.7262836,262,120.0
1682966086.7755625,263,117.0
1682966089.1239123,264,140.0
1682966091.0729342,265,115.0
1682966092.7721362,266,101.0
1682966094.7705605,267,117.0
1682966096.7031806,268,112.0
1682966098.9349627,269,120.0
1682966101.1172886,270,126.0
1682966102.949548,271,102.0
1682966105.449359,272,111.0
1682966107.2807412,273,107.0
1682966109.1628032,274,113.0
1682966111.0456388,275,105.0
1682966113.1772256,276,128.0
1682966114.9782174,277,103.0
1682966118.141109,278,125.0
1682966120.306385,279,130.0
1682966122.2887955,280,119.0
1682966134.2818685,281,119.0
1682966136.4144197,282,126.0
1682966138.279927,283,111.0
1682966140.2628884,284,116.0
1682966142.461428,285,116.0
1682966144.4100146,286,116.0
1682966146.5598443,287,115.0
1682966149.0749185,288,130.0
1682966150.889633,289,108.0
1682966152.8383534,290,117.0
1682966155.0871685,291,135.0
1682966156.9861062,292,114.0
1682966159.084927,293,126.0
1682966161.0338497,294,116.0
1682966163.0493784,295,121.0
1682966165.1815243,296,128.0
1682966167.1470788,297,118.0
1682966169.0623064,298,115.0
1682966171.527933,299,148.0
1682966173.476867,300,117.0
1682966186.1192493,301,129.0
1682966188.601338,302,136.0
1682966190.6505868,303,121.0
1682966192.6827896,304,121.0
1682966194.8481488,305,130.0
1682966196.9803932,306,128.0
1682966198.862603,307,113.0
1682966200.861699,308,117.0
1682966203.6433208,309,165.0
1682966205.6088965,310,118.0
1682966207.7910068,311,131.0
1682966209.973062,312,131.0
1682966211.9386134,313,118.0
1682966213.9374952,314,120.0
1682966215.919829,315,119.0
1682966218.1185613,316,132.0
1682966220.3839595,317,136.0
1682966222.1996129,318,109.0
1682966224.182074,319,119.0
1682966226.2473474,320,122.0
1682966238.7229204,321,116.0
1682966240.589312,322,112.0
1682966242.7216704,323,128.0
1682966244.93671,324,133.0
1682966247.0189903,325,124.0
1682966249.1674368,326,129.0
1682966251.749328,327,153.0
1682966254.4482222,328,160.0
1682966256.5970323,329,129.0
1682966262.8601897,330,376.0
1682966265.125606,331,136.0
1682966267.5743942,332,147.0
1682966269.872923,333,138.0
1682966272.2382808,334,142.0
1682966274.770192,335,152.0
1682966277.0855603,336,139.0
1682966279.467378,337,143.0
1682966281.6829894,338,132.0
1682966283.9150796,339,134.0
1682966286.1132486,340,132.0
1682966300.4224946,341,139.0
1682966302.687493,342,136.0
1682966304.8365912,343,129.0
1682966307.168528,344,139.0
1682966309.667325,345,150.0
1682966311.949781,346,137.0
1682966314.1155436,347,130.0
1682966316.347005,348,134.0
1682966316.7800128,349,26.0
1682966319.2952733,350,151.0
1682966321.7771049,351,149.0
1682966324.2258437,352,146.0
1682966326.5578778,353,139.0
1682966328.8065572,354,135.0
1682966331.1548672,355,141.0
1682966333.6039412,356,147.0
1682966336.9853165,357,203.0
1682966339.733711,358,164.0
1682966344.4478586,359,283.0
1682966347.029737,360,155.0
1682966364.5032437,361,144.0
1682966366.9685829,362,148.0
1682966371.9324732,363,298.0
1682966374.1312478,364,132.0
1682966376.813092,365,161.0
1682966379.543852,366,163.0
1682966385.7747278,367,374.0
1682966388.7897239,368,181.0
1682966389.439354,369,38.0
1682966391.8215256,370,143.0
1682966394.4528916,371,156.0
1682966400.5831003,372,368.0
1682966405.1801047,373,276.0
1682966406.5297348,374,81.0
1682966409.2446337,375,163.0
1682966412.1433113,376,174.0
1682966415.3244276,377,191.0
1682966419.1227405,378,228.0
