Training Episode,Accelerate (3),Straight (0),Brake (4),Left (1),Right (2)
194,0.442307681,0.288461536,0.01923077,0.230769232,0.01923077
195,0.538461566,0.288461536,0,0.15384616,0.01923077
196,0.538461566,0.288461536,0,0.173076928,0
197,0.600000024,0.180000007,0.039999999,0.159999996,0.02
198,0.480769217,0.03846154,0,0.423076928,0.057692308
199,0.461538464,0.01923077,0,0.519230783,0
200,0.480769217,0.01923077,0,0.5,0
201,0.5,0.07692308,0.01923077,0.403846145,0
202,0.5,0.01923077,0.01923077,0.461538464,0
203,0.423076928,0.01923077,0,0.557692289,0
204,0.403846145,0,0,0.576923072,0.01923077
205,0.538461566,0,0,0.326923072,0.134615391
206,0.442307681,0,0,0.365384609,0.192307696
207,0.538461566,0.01923077,0,0.403846145,0.03846154
208,0.557692289,0.01923077,0.01923077,0.403846145,0
209,0.634615362,0.01923077,0,0.326923072,0.01923077
210,0.615384638,0.096153848,0,0.25,0.03846154
211,0.01923077,0.903846145,0.01923077,0.01923077,0.03846154
212,0.192307696,0.096153848,0,0,0.711538434
213,0.01923077,0.115384616,0,0,0.865384638
214,0.03846154,0.807692289,0,0.01923077,0.134615391
215,0.173076928,0.711538434,0,0.03846154,0.07692308
216,0.03846154,0.865384638,0,0.057692308,0.03846154
217,0.230769232,0.711538434,0,0.057692308,0
218,0.5,0.211538464,0,0.25,0.03846154
219,0.673076928,0,0,0.326923072,0
220,0.634615362,0.01923077,0.01923077,0.288461536,0.03846154
221,0.596153855,0.01923077,0.03846154,0.326923072,0.01923077
222,0.442307681,0.03846154,0.01923077,0.480769217,0.01923077
223,0.933333337,0.033333335,0,0.033333335,0
224,0.826923072,0.057692308,0,0.096153848,0.01923077
225,0.480769217,0.03846154,0.07692308,0.403846145,0
226,0.03846154,0.269230783,0.423076928,0.192307696,0.07692308
227,0.03846154,0.192307696,0.057692308,0.269230783,0.442307681
228,0.576923072,0.15384616,0.115384616,0.01923077,0.134615391
229,0.173076928,0.576923072,0.03846154,0.192307696,0.01923077
230,0.134615391,0.807692289,0.01923077,0.03846154,0
231,0.365384609,0.442307681,0.115384616,0.03846154,0.03846154
232,0.134615391,0.75,0,0.096153848,0.01923077
233,0.326923072,0.480769217,0.01923077,0.134615391,0.03846154
234,0.134615391,0.769230783,0.01923077,0.07692308,0
235,0.480769217,0.442307681,0,0.057692308,0.01923077
236,0.230769232,0.461538464,0.01923077,0.25,0.03846154
237,0.230769232,0.346153855,0,0.384615391,0.03846154
238,0.730769217,0.07692308,0.03846154,0.096153848,0.057692308
239,0.75,0.050000001,0.050000001,0.075000003,0.075000003
240,0.866666675,0.100000001,0,0,0.033333335
241,0.692307711,0.057692308,0,0.173076928,0.07692308
242,0.423076928,0.096153848,0.173076928,0.230769232,0.07692308
243,0.365384609,0.07692308,0.403846145,0.134615391,0.01923077
244,0.615384638,0.211538464,0,0.15384616,0.01923077
245,0.01923077,0.903846145,0.01923077,0.03846154,0.01923077
246,0.307692319,0.634615362,0.01923077,0,0.03846154
247,0.115384616,0.423076928,0,0.115384616,0.346153855
248,0.15384616,0.769230783,0,0.07692308,0
249,0.5,0.326923072,0,0.15384616,0.01923077
250,0.519230783,0.115384616,0.07692308,0.25,0.03846154
251,0.70588237,0.05882353,0.156862751,0.05882353,0.019607844
252,0.942857146,0.028571429,0,0.028571429,0
253,0.903846145,0.057692308,0,0.01923077,0.01923077
254,0.730769217,0.03846154,0,0.03846154,0.192307696
255,0.134615391,0.192307696,0.538461566,0.115384616,0.01923077
256,0.444444448,0.222222224,0.288888901,0,0.044444446
257,0.899999976,0,0.06666667,0,0.033333335
258,0.307692319,0.01923077,0.01923077,0.01923077,0.634615362
259,0.576923072,0.03846154,0.03846154,0,0.346153855
260,0.307692319,0.01923077,0,0.01923077,0.653846145
261,0.769230783,0.01923077,0.057692308,0.057692308,0.096153848
262,0.346153855,0,0,0.01923077,0.634615362
263,0.384615391,0.03846154,0.01923077,0.057692308,0.5
264,0.192307696,0.01923077,0.673076928,0.07692308,0.03846154
265,0.442307681,0.057692308,0.057692308,0.07692308,0.365384609
266,0.365384609,0,0.07692308,0.134615391,0.423076928
267,0.288461536,0.096153848,0,0.288461536,0.326923072
268,0.384615391,0.096153848,0.07692308,0.115384616,0.326923072
269,0.653846145,0.01923077,0.03846154,0.211538464,0.07692308
270,0.288461536,0.057692308,0.365384609,0.057692308,0.230769232
271,0.423076928,0.07692308,0.115384616,0.15384616,0.230769232
272,0.677419364,0.032258064,0,0.096774191,0.193548381
273,0.403846145,0.403846145,0.01923077,0.15384616,0.01923077
274,0.557692289,0.07692308,0.03846154,0.288461536,0.03846154
275,0.769230783,0.07692308,0.01923077,0.134615391,0
276,0.557692289,0.07692308,0,0.365384609,0
277,0.833333313,0.033333335,0.033333335,0.100000001,0
278,0.288461536,0.03846154,0.634615362,0.03846154,0
279,0.384615391,0.230769232,0.384615391,0,0
280,0.480769217,0.03846154,0.288461536,0.173076928,0.01923077
281,0.538461566,0.07692308,0.15384616,0.211538464,0.01923077
282,0.365384609,0.134615391,0.307692319,0.173076928,0.01923077
283,0.384615391,0.134615391,0.326923072,0.15384616,0
284,0.365384609,0.057692308,0.230769232,0.326923072,0.01923077
